CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-art | Artificer Armour -> gear-hq-artificer | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-term | Terminator Armour -> gear-hq-terminator | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-tart | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-cat | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-assault-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-mob | Mobility (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    ENTRY r40-da-storm-centurion-group-r40-da-storm-assault-r37-centurion-jetbike | Jetbike (Sky Hunter Phalanx) | cost=40 | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-jump | Jump Pack -> gear-hq-jump | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-bike | Space Marine Bike -> gear-hq-bike | max=1 field=selections scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-assault-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-weapons | Weapon Replacements (max 100 Armoury pts; max 2 weapons) | max=2 field=selections scope=parent; max=100 field=pts scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-assault-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wargear | Additional Wargear (max 100 Armoury pts combined) | max=100 field=pts scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-0 | Combat Shield -> gear-hq-combat-shield | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-1 | Boarding Shield -> gear-hq-boarding | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-2 | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-3 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-4 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-5 | Digital Weapons -> gear-hq-digital | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-6 | Master-crafted Weapon -> gear-hq-mastercraft | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-7 | Nuncio Vox -> gear-hq-nuncio | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-8 | Psychic Hood -> gear-hq-hood | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-9 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-10 | Signum -> gear-hq-signum | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-11 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-12 | Terminator Honours -> gear-hq-honours | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-wg-13 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-iron-halo | Iron Halo -> gear-hq-iron-halo | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-r39-phosphex-hq-centurion-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-assault-r40-da-hq-centurion-transponders | Teleportation Transponders -> da22-transponders | max=1 field=selections scope=parent
OWNER r40-da-vow-veteran | Legion Veteran Squad :: GROUP r40-da-vow-veteran-veteran-sgt-armoury | Legion Veteran Sergeant — Additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-hf | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-lc | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-pair | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-pp | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-pf | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-th | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-vs | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-cb | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-sb | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-veteran-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-da22-alt-pp-5 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-rev24-veteran-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r40-da-vow-veteran-r39-phosphex-veteran-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-34-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-34-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-34-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-34-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-34-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-vow-veteran | Legion Veteran Squad :: GROUP r40-da-vow-veteran-r40-da-ammo-veteran-unit | Dark Angels Armoury — Ammunition | 
    LINK r40-da-vow-veteran-r40-da-ammo-veteran-unit-veteran-sp-ml | Stasis Shells — Missile (for Missile Launcher with Suspensor Web (replaces Bolter)) -> da22-stasis-missile | max=2 field=selections scope=parent
OWNER r40-da-vow-terminator | Legion Terminator Squad :: GROUP r40-da-vow-terminator-terminator-sgt-armoury | Additional permitted Terminator Armoury (max 50 pts) | max=50 field=pts scope=parent
    ENTRY r40-da-vow-terminator-terminator-sgt-halo | Iron Halo | cost=25 | max=1 field=selections scope=parent
    ENTRY r40-da-vow-terminator-terminator-sgt-mastercraft | Master-crafted Weapon | cost=15 | max=1 field=selections scope=parent
    ENTRY r40-da-vow-terminator-terminator-sgt-signum | Signum | cost=15 | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-terminator-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-terminator-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-terminator-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-terminator-sgt-nuncio | Nuncio Vox -> gear-nuncio | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-terminator-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-terminator-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r40-da-vow-terminator-r39-phosphex-terminator-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-35-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-35-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-35-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-35-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-35-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-serpent-assault-assault-sergeant | Legion Assault Sergeant :: GROUP r40-da-serpent-assault-assault-sgt-armoury | Additional Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r40-da-serpent-assault-rev24-assault-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r40-da-serpent-assault-r39-phosphex-assault-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-40-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-40-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-40-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-40-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-40-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-serpent-assault-assault-sergeant | Legion Assault Sergeant :: GROUP r40-da-serpent-assault-assault-sgt-armoury-weapons | Additional Armoury Weapon | max=1 field=selections scope=parent
    LINK r40-da-serpent-assault-r39-phosphex-assault-sgt-armoury-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-41-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-41-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-41-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-41-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-41-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r52-ec-eid-honour | Legion Honour Guard Squad :: GROUP r52-ec-eid-honour-hq-praetor-ret-honour-champ-arm | Legion Champion — additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-0 | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-1 | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-2 | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-3 | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-4 | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-5 | Power Weapon -> gear-power-weapon | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-6 | Rending Weapon -> gear-rending | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-7 | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-8 | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-9 | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-10 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-11 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-12 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-13 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-14 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-ca-15 | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-cawg-0 | Combat Shield -> gear-hq-combat-shield | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-cawg-1 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-cawg-2 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-cawg-3 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-cawg-4 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-hq-praetor-ret-honour-cawg-5 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-da22-alt-pp-16 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-r39-phosphex-hq-praetor-ret-honour-champ-arm | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r52-ec-eid-honour-r40-da-warblade-hq-praetor-ret-honour-ca-5 | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
    LINK r63-sw-arm-44-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-44-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-44-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-44-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-44-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r67-if-r52-ec-eid-honour-hq-praetor-ret-honour-champ-arm-solarite | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r67-if-r52-ec-eid-honour-hq-praetor-ret-honour-champ-arm-solarite-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
OWNER r52-ec-ful-honour | Legion Honour Guard Squad :: GROUP r52-ec-ful-honour-hq-praetor-ret-honour-champ-arm | Legion Champion — additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r52-ec-ful-honour-hq-praetor-ret-honour-ca-0 | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK r52-ec-ful-honour-hq-praetor-ret-honour-ca-1 | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
